"stadium_id","stadium_name","city","capacity","record_pl_attendance","address","pitch_size","built","phone"
"162","St. James' Park","Newcastle","52305","52,490 v West Ham United (11 November 2012)","St. James' Park, Strawberry Place, Newcastle Upon Tyne, NE1 4ST","105m x 68m","1892","+44 (0) 844 372 1892 ("
"163","Carrow Road","Norwich","27244","Null","Carrow Road, Norwich, NR1 1JE","104m x 68m","1935","01603 760 760"
"164","City Ground","Nottingham","30445","Null","City Ground, Nottingham, NG2 5FJ","105m x 71m","1898","0115 982 4444"
"165","Boundary Park","Oldham","13512","Null","Furtherwood Rd, Oldham, Greater Manchester, OL1 2PAA","101m x 68m","1904","0161 624 4972"
"166","Fratton Park","Portsmouth","21178","Null","Fratton Park, Frogmore Road, Portsmouth, PO4 8RA","105m x 67m","1898","02392 731204"
"167","Loftus Road","London","18439","Null","Loftus Road Stadium, South Africa Road, London, W12 7PJ","102m x 66m","1904","020 8743 0262"
"168","Madejski Stadium","Reading","24161","Null","Bennett Road, Reading, RG2 0FL","102m x 70m","1998","0118 968 1100"
"169","Bramall Lane","Sheffield","32050","Null","Bramall Lane, Sheffield, South Yorkshire, S2 4SU","102m x 66m","1855","0114 253 7200"
"170","Hillsborough","Sheffield","39732","Null","Leppings Ln, Sheffield, South Yorkshire, S6 1SW","105m x 68m","1899","03700 20 1867"
"171","St. Mary's Stadium","Southampton","32384","32,151 v Arsenal (29 December 2003)","St Mary's Stadium, Britannia Road, Southampton, SO14 5FP","105m x 68m","2001","+44 (0) 845 688 9448"
"172","bet365 Stadium","Stoke","30089","29,661 v Chelsea (23 September 2017)","bet365 Stadium, Stanley Matthews Way, Stoke-on-Trent, ST4 4EG","105m x 68m","1997","+44 (0) 1782 367599"
"173","Stadium of Light","Sunderland","48707","Null","Stadium of Light, Sunderland, SR5 1SU","105m x 68m","1997","+44 (0) 871 911 1200"
"174","Liberty Stadium","Swansea","21088","20,972 v Liverpool (1 May 2016)","Liberty Stadium, Landore, Swansea, SA1 2FA","105m x 68m","2005","+44 (0) 1792 616600"
"175","County Ground","Swindon",\N,"Null","Null","Null",\N,"Null"
"176","Tottenham Hotspur Stadium","London","62062","Null","Lilywhite House, 782 High Road, Tottenham, London, N17 0BX","100m x 67m","2019","+44 (0) 344 499 5000"
"177","Vicarage Road","Watford","21000","21,590 v Sunderland (27 November 1999)","Vicarage Road Stadium, Watford, Hertfordshire, WD18 0ER","105m x 68m","1922","+44 (0) 1923 496000"
"178","The Hawthorns","West Bromwich","26688","27,751 v Portsmouth (15 May 2005)","The Hawthorns, West Bromwich, West Midlands, B71 4LF","105m x 68m","1900","+44 (0) 871 271 1100"
"179","London Stadium","London","60000","59,946 v Arsenal (12 January 2019)","London Stadium, Queen Elizabeth Olympic Park, London, E20 2ST","105m x 68m","2011","+44 (0)20 85482748"
"180","DW Stadium","Wigan","25133","Null","Loire Drive, Robin Park, Wigan, Greater Manchester, WN5 0UH","105m x 68m","1999","01942 774 000"
"231","Highbury","London",\N,\N,\N,\N,\N,\N
"232","Ayresome Park","Middlesbrough",\N,\N,\N,\N,\N,\N
"233","Maine Road","Manchester",\N,\N,\N,\N,\N,\N
"234","White Hart Lane","London",\N,\N,\N,\N,\N,\N
"235","The Dell","Southampton",\N,\N,\N,\N,\N,\N
"240","Boleyn Ground","London",\N,\N,\N,\N,\N,\N
"244","Filbert Street","Leicester",\N,\N,\N,\N,\N,\N
"245","Burnden Park","Bolton",\N,\N,\N,\N,\N,\N
"246","Baseball Ground","Derby",\N,\N,\N,\N,\N,\N
"247","Roker Park","Sunderland",\N,\N,\N,\N,\N,\N
"284","Macron Stadium","Bolton",\N,\N,\N,\N,\N,\N
"285","iPro Stadium","Derby",\N,\N,\N,\N,\N,\N
"322","Molineux Stadium","Wolverhampton","32050","31,322 v Manchester City (25 August 2018)","Molineux Stadium, Waterloo Rd, Wolverhampton, WV1 4QR","105m x 68m","1889","+44 (0) 871 222 1877"
"323","St. Andrew's Stadium","Birmingham",\N,\N,\N,\N,\N,\N
"324","Sports Direct Arena","Newcastle",\N,\N,\N,\N,\N,\N
"325","Molineux","Wolverhampton",\N,\N,\N,\N,\N,\N
"326","The Friends Provident St Mary's Stadium","Southampton",\N,\N,\N,\N,\N,\N
"327","St Andrews","Birmingham",\N,\N,\N,\N,\N,\N
"328","Britannia Stadium","Stoke",\N,\N,\N,\N,\N,\N
"329","Kiyan Prince Foundation Stadium","London",\N,\N,\N,\N,\N,\N
"330","St James' Park","Newcastle",\N,\N,\N,\N,\N,\N
"331","Goldsands Stadium","Bournemouth",\N,\N,\N,\N,\N,\N
"332","Wembley Stadium","London",\N,\N,\N,\N,\N,\N
